Country,Year,Item,Area harvested,Production,Yield,Avg_Temperature,Avg_CO2_Emissions,Avg_Sea_Level_Rise,Avg_Precipitation,Avg_Humidity,Avg_Wind_Speed
Afghanistan,2000,Crops Primary,5421639,8535627.22,2631689,16.24791812,452.4516182,0.875527625,46.59596469,56.90865083,18.03561762
Afghanistan,2001,Crops Primary,4796328,8923187.59,2672997,13.71769583,427.6732581,-0.690361691,56.9439119,28.07927157,31.02782284
Afghanistan,2002,Crops Primary,5083924,12190774.22,2687550,2.193930972,406.214615,-0.639521274,31.32889555,59.5004022,11.91717118
Afghanistan,2003,Crops Primary,6610359,13819254.74,2662775,16.5579815,443.2680266,0.375024937,55.95619708,77.57023546,32.22760301
Afghanistan,2004,Crops Primary,5895998,11759785.28,2723458,11.74590319,378.6686928,0.182331975,55.73974253,34.0673156,27.5078247
Afghanistan,2005,Crops Primary,6743507,16074934.76,2583870,19.47229763,404.7257268,0.013140539,52.40376011,48.69219907,14.40600171
Afghanistan,2006,Crops Primary,6675132,14754632.92,2577521,16.08760354,447.304471,-0.458423379,71.0508882,83.31232389,48.40759545
Afghanistan,2007,Crops Primary,6759334,17190141.36,2635214,13.79053086,407.4996872,-0.448889546,37.68791545,51.01644477,35.21828983
Afghanistan,2008,Crops Primary,6151302,13369180.27,2644198,16.57728753,411.6805545,1.866453512,21.80522056,43.80442286,21.44900181
Afghanistan,2009,Crops Primary,7148840,19130978.75,3271593,18.54237676,413.2774938,-2.25267135,69.07436955,56.59291096,22.02134725
Afghanistan,2011,Crops Primary,6401539,14390839.13,2825655,14.16096799,405.243434,0.824331657,27.04438176,45.5824077,19.0122021
Afghanistan,2012,Crops Primary,7066520,18485139.02,2823766,17.04628454,356.2638307,-0.421158174,70.80245774,46.61414997,5.027271081
Afghanistan,2013,Crops Primary,7112209,18910327.64,2924877,11.22461894,420.1962104,-0.147800956,33.72367711,65.52517995,25.72932258
Afghanistan,2014,Crops Primary,7558718,20513041.72,2839898,9.583281132,305.5511241,-0.163591661,87.52027819,17.83205377,4.662520051
Afghanistan,2015,Crops Primary,6522603,18785674.84,2458341,17.71603919,435.1230753,-0.536458483,37.96738565,93.44940727,6.76823516
Afghanistan,2017,Crops Primary,5896343,18818466.51,2804103,16.81231877,414.010794,0.553994551,2.680171572,47.63662681,48.98847228
Afghanistan,2020,Crops Primary,7266167,23308854.85,3049780,6.675644833,377.5809733,-0.500183601,97.28283663,35.27487152,39.19831141
Afghanistan,2021,Crops Primary,6111858,22145485.29,3031878,19.47277018,360.6480027,0.508364425,73.96833614,31.17925524,16.23240064
Afghanistan,2022,Crops Primary,5687358,21537720.23,3099866,16.57676372,381.3224276,-0.602482655,30.06345291,46.71467251,31.89927758
Albania,2000,Crops Primary,563922,3184674.06,6185197,11.96812454,400.3605648,0.050444465,44.36067737,31.54920094,24.1388839
Albania,2001,Crops Primary,528930,3186984.61,6351762,20.82787589,419.6924277,-0.125900418,81.57198717,56.79911984,33.68466465
Albania,2002,Crops Primary,509514,3206930.88,6373855,16.25111384,396.2688078,-0.935323785,61.39785402,12.69183731,23.5467504
Albania,2003,Crops Primary,514550,3196581.01,6227419,20.71562423,416.7427501,0.049805626,0.780391854,11.56167533,26.16171923
Albania,2004,Crops Primary,496027,3273120.38,6911993,24.90476028,333.0830462,-0.320015191,79.79581302,91.31711111,9.586558925
Albania,2005,Crops Primary,498612,3359768.06,6791480,19.30429453,416.491372,-1.392807451,84.26257587,90.83414698,40.27126114
Albania,2006,Crops Primary,490094,3439859.68,8171327,11.46511467,357.110616,-0.868728389,17.42652437,68.7281267,14.90036585
Albania,2007,Crops Primary,461016,3408581.59,7921727,13.59288989,322.5071847,1.579317301,53.60564265,64.40096454,16.28050442
Albania,2008,Crops Primary,517205,3876898.95,8194856,21.64124972,475.1640687,-0.298324083,44.19637009,67.7850477,20.14050184
Albania,2009,Crops Primary,508990,4051245.69,8759633,11.71148498,394.3411001,-0.212763142,43.8087842,62.49101008,22.6916344
Albania,2010,Crops Primary,506632,4514506.18,8485311,11.45205297,400.7768466,0.593218212,66.49694761,24.9098501,40.0344108
Albania,2011,Crops Primary,514033,4763039.21,9297677,13.17195319,390.6763161,-1.449148361,53.82487357,60.23578859,34.36620907
Albania,2012,Crops Primary,519669,4913424.68,9813973,11.94359918,424.4763042,0.341119658,63.16126112,20.15947945,34.55216482
Albania,2013,Crops Primary,515266,4909644.91,9501910,15.44465636,339.5622187,1.052275312,61.4220474,76.95429278,45.81632266
Albania,2014,Crops Primary,519524,4982361.78,9676055,15.63160317,418.8387543,-0.638136721,48.83263589,76.94862919,28.12858446
Albania,2016,Crops Primary,528919,5443003.66,10884627,15.15081973,369.2295898,-0.120683264,44.88607663,62.47989867,22.66169982
Albania,2017,Crops Primary,530589,5504715.22,11408612,9.548150813,404.8045065,0.289944319,79.3286678,36.52759846,29.37942258
Albania,2018,Crops Primary,519307,5484259.17,11966091,14.55642462,426.8219719,-0.125745146,82.39866804,44.6296028,15.40128963
Albania,2019,Crops Primary,511361,5640398.17,12174240,17.91010215,409.9854739,-0.736339103,72.00927763,46.37514529,7.272602867
Albania,2020,Crops Primary,512581,5785398.45,12444421,16.09579059,385.5644825,-0.337029061,27.80735324,57.51015566,27.25893098
Albania,2022,Crops Primary,519621,6045237.15,13094385,15.62356593,417.0150491,-0.321564756,56.80758768,66.56462041,32.70830605
Algeria,2000,Crops Primary,3658548,12253194.16,3838035,10.06136635,411.3291602,-0.948341646,41.16385656,14.34453731,11.32207432
Algeria,2001,Crops Primary,6339969,16084334.73,4004808,13.72315199,428.5816861,0.618613942,22.86254281,49.31837063,32.70211526
Algeria,2002,Crops Primary,5324944,15998652.07,4291269,25.46839995,331.6913153,-0.61774346,98.71937544,63.97827011,38.485228
Algeria,2003,Crops Primary,7566289,23234644.64,4632243,14.57361127,382.1298397,-0.183050966,45.67162536,39.27653422,21.05690543
Algeria,2004,Crops Primary,7868796,24291623.67,4902023,17.79383497,451.6098181,-0.990841831,43.74783962,18.73786534,29.7352592
Algeria,2005,Crops Primary,6712020,24732938,4724532,13.5040718,402.1649983,0.212505472,10.96812079,31.73420487,8.769347043
Algeria,2007,Crops Primary,7839401,23546937.05,4496898,5.783653291,452.7045734,0.64520518,74.63868718,69.52086297,25.47860399
Algeria,2008,Crops Primary,5126503,21690693.47,4691854,7.554851651,434.3712519,-1.481301538,86.31033365,52.95870804,8.661352053
Algeria,2009,Crops Primary,8553458,32701578.05,5313600,17.10240596,445.3695123,-0.197979367,44.40271379,88.99060286,26.63928882
Algeria,2010,Crops Primary,8189174,33436797.13,5332182,15.9090776,305.0932532,-0.556541181,38.35437842,43.57167742,32.78589721
Algeria,2011,Crops Primary,7750664,36842314.08,5862231,8.819710532,367.5539392,-1.115452478,78.6376549,96.50661974,9.433469141
Algeria,2012,Crops Primary,8718753,40330944.65,6176780,11.33735713,367.7735924,0.000312015,1.250881522,88.15078709,17.78688209
Algeria,2013,Crops Primary,8096326,43912140.22,6599573,9.787306797,397.8843932,1.15949791,55.08954495,89.95962355,25.56119223
Algeria,2014,Crops Primary,7621284,41408391.03,7137622,14.52156701,384.5431836,-0.139797388,61.97212837,53.0088634,21.84951014
Algeria,2015,Crops Primary,8014213,43332339.36,7150146,17.87964563,324.3224513,-0.513327414,42.0457777,37.91104522,22.79873373
Algeria,2016,Crops Primary,9497518,43836064.49,7229778,13.65995415,442.306538,-0.135036278,43.57403248,48.22966198,24.06937338
Algeria,2017,Crops Primary,9790742,44327681.11,7383909,16.42305243,392.458905,0.272066027,61.90868797,30.61798308,25.8207943
Algeria,2019,Crops Primary,9111719,52836375.16,8223434,19.04295205,461.0381732,0.125522061,43.95919576,40.9902947,22.82297379
Algeria,2020,Crops Primary,8511659,51143859.98,8257927,17.29755316,362.4924841,-1.362371342,44.9211018,66.50292178,20.05549538
Algeria,2021,Crops Primary,6544631,45780238.41,8238237,16.96930799,453.0258536,-0.339485861,47.49807481,55.38193513,13.31829232
Algeria,2022,Crops Primary,8508188,50650210.37,8505901,15.29241021,363.9402336,1.092427376,38.63357222,50.16146217,45.36340734
Angola,2001,Crops Primary,4187821,16172459.11,2154807,14.26376936,390.0463249,0.024421994,70.60547183,50.46869319,28.64518778
Angola,2002,Crops Primary,4593783,19243164.03,2221176,18.58890059,389.7953492,-0.569591257,39.94455035,47.18174946,23.5497086
Angola,2003,Crops Primary,4915731,20859653.05,2260455,19.14325003,429.6433241,0.895860518,21.0177528,57.69713258,46.45008094
Angola,2004,Crops Primary,5908717,24569415.36,2269942,14.56406221,411.3623143,0.84523854,77.73251169,98.66322264,14.53074827
Angola,2005,Crops Primary,6240496,25939709.33,2265320,19.2276254,436.0000647,-1.487016095,60.14943573,61.58392419,40.78113754
Angola,2006,Crops Primary,6238319,26641471.71,2307895,13.55464484,396.7489245,0.516343154,65.59593197,57.21312999,27.51321571
Angola,2007,Crops Primary,6804079,30260787.4,2698463,17.9094935,411.5260691,0.744246496,56.83026207,65.29228606,21.7134664
Angola,2008,Crops Primary,5293276,31657680.36,2826618,13.60192632,406.4632552,-1.020273847,52.57323339,49.36050145,41.16764247
Angola,2009,Crops Primary,7901834,40659232.24,2843005,13.49895904,446.5895826,0.185777556,63.59955774,31.91159973,25.85807157
Angola,2010,Crops Primary,8086201,43409583.08,2862146,12.55800008,396.1247613,0.296253688,30.65822544,36.44553062,23.93979396
Angola,2011,Crops Primary,9191052,46570160.86,2969408,18.06204094,384.4375343,0.087105489,57.75964327,16.61852031,17.09553935
Angola,2012,Crops Primary,6288620,36266173.14,2685342,8.315462922,422.3379612,-0.347397341,63.25984862,65.01548184,19.28630404
Angola,2013,Crops Primary,9403243,52741404.17,2835161,6.892148133,356.241153,0.750177005,20.56363206,29.48892267,26.52121571
Angola,2014,Crops Primary,8612000,38408105.79,2915697,14.14791396,372.8071863,0.787385904,97.97635802,59.83714931,27.77036523
Angola,2015,Crops Primary,8672025,40043704.97,3193747,14.02958868,448.5242175,0.396394267,31.92580277,36.46396221,18.72405995
Angola,2017,Crops Primary,11242099,42476015.76,3281095,16.56341094,417.3375439,-0.486522129,84.36248331,58.73208657,33.46740771
Angola,2018,Crops Primary,10938702,44230011.51,3429226,17.35134325,413.4023484,-0.045510207,77.07224033,17.05708695,16.49436086
Angola,2019,Crops Primary,10822339,45372820.54,3472114,14.85019523,384.5368327,0.339557802,21.50504813,22.64244386,15.24470101
Angola,2020,Crops Primary,11089323,47996865.53,3522360,12.91912387,443.1242014,0.289664944,52.29098374,18.59666418,27.85778178
Angola,2021,Crops Primary,11121465,48976487.66,3521862,12.44081116,424.3559116,0.988144942,18.12563678,67.42122278,22.59328233
Angola,2022,Crops Primary,11251391,51839382.67,3580656,14.83868255,384.0095661,0.422639206,42.21961563,50.78585611,18.66345925
Antigua and Barbuda,2000,Crops Primary,4230,25133.44,1548590,12.29042956,321.1354834,-0.445038606,74.77749763,58.72859892,16.64265691
Antigua and Barbuda,2001,Crops Primary,4201,24980.51,1552768,17.65648589,425.3372743,0.251153662,47.65393809,59.22297605,26.18078799
Antigua and Barbuda,2002,Crops Primary,4414,26142.92,1550272,10.64348083,458.463085,0.25110806,50.18722273,74.11751532,37.73374788
Antigua and Barbuda,2003,Crops Primary,4592,26660.25,1530212,14.13593205,405.1720508,1.949779058,90.02131874,51.59807485,14.44084977
Antigua and Barbuda,2004,Crops Primary,4737,27598.25,1527873,9.540276932,427.2286654,-0.377150624,57.97935435,7.729158112,15.40293416
Antigua and Barbuda,2005,Crops Primary,3914,21577.76,1528729,14.0762031,380.8203078,0.452347834,27.25843022,40.51978942,32.97330594
Antigua and Barbuda,2006,Crops Primary,4138,23100.27,1524264,13.166907,362.8638717,-1.063860798,18.76463744,70.39086393,16.01290341
Antigua and Barbuda,2007,Crops Primary,4370,24674.34,1519606,17.41038457,435.6160958,0.519702616,46.13636382,63.44859771,21.47820305
Antigua and Barbuda,2008,Crops Primary,4519,25595.53,1516560,18.16940404,440.1077556,0.206757654,36.91026494,59.09973724,22.86038278
Antigua and Barbuda,2009,Crops Primary,4615,26018.26,1513651,9.877251194,441.8633584,-0.090612477,67.29166627,46.77012341,36.12633877
Antigua and Barbuda,2010,Crops Primary,4770,26488.69,1504606,8.956660734,351.9205031,-0.352285415,39.68979085,83.62560539,28.51695795
Antigua and Barbuda,2011,Crops Primary,4815,26736.08,1502485,18.75414805,413.9313633,0.221938711,45.84878346,44.67356365,16.89843911
Antigua and Barbuda,2012,Crops Primary,4802,26236.5,1489570,13.04988186,401.6123992,0.071407785,46.69962203,45.57200324,7.952511377
Antigua and Barbuda,2013,Crops Primary,4793,26623.25,1482574,14.10277476,443.7363066,2.001879787,80.8524116,79.92352917,2.749409244
Antigua and Barbuda,2015,Crops Primary,4838,26853.75,1468610,16.50949228,322.1078213,0.222440511,26.73062962,94.57951343,32.57351303
