"Country","Year","Item","Value"
"Afghanistan",2001,"Economic Contribution",1945.443612
"Afghanistan",2001,"Investment in Assets",102.119786
"Afghanistan",2001,"Development Aid",2.72408
"Afghanistan",2002,"Economic Contribution",1869.249676
"Afghanistan",2002,"Investment in Assets",96.457003
"Afghanistan",2002,"Development Aid",8.886912
"Afghanistan",2003,"Economic Contribution",1981.633068
"Afghanistan",2003,"Investment in Assets",103.12011
"Afghanistan",2003,"Development Aid",20.072313
"Afghanistan",2004,"Economic Contribution",1918.994249
"Afghanistan",2004,"Investment in Assets",110.057965
"Afghanistan",2004,"Development Aid",47.516562
"Afghanistan",2005,"Economic Contribution",2186.379081
"Afghanistan",2005,"Investment in Assets",133.418354
"Afghanistan",2005,"Development Aid",149.014819
"Afghanistan",2006,"Economic Contribution",2443.549101
"Afghanistan",2006,"Investment in Assets",158.822022
"Afghanistan",2006,"Development Aid",64.431919
"Afghanistan",2007,"Economic Contribution",3319.28755
"Afghanistan",2007,"Investment in Assets",203.619587
"Afghanistan",2007,"Development Aid",77.613858
"Afghanistan",2008,"Economic Contribution",3163.66629
"Afghanistan",2008,"Investment in Assets",186.649377
"Afghanistan",2008,"Loans to Agriculture",1.034834
"Afghanistan",2008,"Development Aid",234.680181
"Afghanistan",2009,"Economic Contribution",3801.533209
"Afghanistan",2009,"Investment in Assets",223.286249
"Afghanistan",2009,"Development Aid",451.399062
"Afghanistan",2011,"Economic Contribution",5175.622743
"Afghanistan",2011,"Investment in Assets",283.03081
"Afghanistan",2011,"Loans to Agriculture",12.873553
"Afghanistan",2011,"Development Aid",474.585408
"Afghanistan",2012,"Economic Contribution",5464.645975
"Afghanistan",2012,"Investment in Assets",295.066912
"Afghanistan",2012,"Loans to Agriculture",16.202029
"Afghanistan",2012,"Development Aid",325.773195
"Afghanistan",2013,"Economic Contribution",5470.188987
"Afghanistan",2013,"Investment in Assets",302.872866
"Afghanistan",2013,"Loans to Agriculture",20.186627
"Afghanistan",2013,"Development Aid",243.6783
"Afghanistan",2014,"Economic Contribution",5372.356458
"Afghanistan",2014,"Investment in Assets",302.647804
"Afghanistan",2014,"Loans to Agriculture",17.676162
"Afghanistan",2014,"Development Aid",229.815312
"Afghanistan",2015,"Economic Contribution",4777.856295
"Afghanistan",2015,"Investment in Assets",274.085464
"Afghanistan",2015,"Loans to Agriculture",17.675763
"Afghanistan",2015,"Development Aid",252.882989
"Afghanistan",2017,"Economic Contribution",4992.453824
"Afghanistan",2017,"Investment in Assets",307.293341
"Afghanistan",2017,"Loans to Agriculture",25.6237
"Afghanistan",2017,"Development Aid",261.660199
"Afghanistan",2020,"Economic Contribution",5402.592033
"Afghanistan",2020,"Investment in Assets",323.21575
"Afghanistan",2020,"Loans to Agriculture",18.381339
"Afghanistan",2020,"Development Aid",171.906384
"Afghanistan",2021,"Economic Contribution",5002.252164
"Afghanistan",2021,"Investment in Assets",330.896874
"Afghanistan",2021,"Development Aid",95.949025
"Afghanistan",2022,"Economic Contribution",4964.767326
"Afghanistan",2022,"Investment in Assets",325.901414
"Albania",2001,"Economic Contribution",892.039491
"Albania",2001,"Investment in Assets",138.169376
"Albania",2001,"Development Aid",9.101295
"Albania",2002,"Economic Contribution",959.387052
"Albania",2002,"Investment in Assets",147.973118
"Albania",2002,"Development Aid",12.009841
"Albania",2003,"Economic Contribution",1222.309206
"Albania",2003,"Investment in Assets",188.953433
"Albania",2003,"Development Aid",13.502169
"Albania",2004,"Economic Contribution",1473.979499
"Albania",2004,"Investment in Assets",234.490091
"Albania",2004,"Development Aid",8.452351
"Albania",2004,"Foreign Investment",0.642888
"Albania",2005,"Economic Contribution",1517.435147
"Albania",2005,"Investment in Assets",241.58619
"Albania",2005,"Development Aid",10.349126
"Albania",2005,"Foreign Investment",0.494601
"Albania",2006,"Economic Contribution",1575.352038
"Albania",2006,"Investment in Assets",251.661648
"Albania",2006,"Development Aid",10.877379
"Albania",2006,"Foreign Investment",2.508966
"Albania",2007,"Economic Contribution",1831.547553
"Albania",2007,"Investment in Assets",287.527121
"Albania",2007,"Loans to Agriculture",27.262272
"Albania",2007,"Development Aid",11.289315
"Albania",2007,"Foreign Investment",2.737334
"Albania",2008,"Economic Contribution",2168.844594
"Albania",2008,"Investment in Assets",332.487004
"Albania",2008,"Loans to Agriculture",38.549084
"Albania",2008,"Development Aid",11.440129
"Albania",2008,"Foreign Investment",-79.100597
"Albania",2009,"Economic Contribution",2022.753109
"Albania",2009,"Investment in Assets",305.71557
"Albania",2009,"Loans to Agriculture",38.21502
"Albania",2009,"Development Aid",18.875318
"Albania",2009,"Foreign Investment",-13.186209
"Albania",2010,"Economic Contribution",2141.585619
"Albania",2010,"Investment in Assets",309.637994
"Albania",2010,"Loans to Agriculture",47.014124
"Albania",2010,"Development Aid",11.086661
"Albania",2010,"Foreign Investment",-0.613208
"Albania",2010,"Research and Development",0
"Albania",2011,"Economic Contribution",2349.589254
"Albania",2011,"Investment in Assets",344.543226
"Albania",2011,"Loans to Agriculture",65.639625
"Albania",2011,"Development Aid",12.982002
"Albania",2011,"Foreign Investment",0.080628
"Albania",2011,"Research and Development",0
"Albania",2012,"Economic Contribution",2312.028282
"Albania",2012,"Investment in Assets",329.204463
"Albania",2012,"Loans to Agriculture",60.645468
"Albania",2012,"Development Aid",12.839981
"Albania",2012,"Research and Development",0
"Albania",2013,"Economic Contribution",2499.701757
"Albania",2013,"Investment in Assets",354.292777
"Albania",2013,"Loans to Agriculture",66.501244
"Albania",2013,"Development Aid",8.602337
"Albania",2013,"Foreign Investment",-0.132811
"Albania",2013,"Research and Development",0
"Albania",2014,"Economic Contribution",2644.34549
"Albania",2014,"Investment in Assets",366.119422
"Albania",2014,"Loans to Agriculture",67.179249
"Albania",2014,"Development Aid",10.484113
"Albania",2014,"Foreign Investment",-3.467379
"Albania",2014,"Research and Development",0
"Albania",2016,"Economic Contribution",2354.478397
"Albania",2016,"Investment in Assets",326.186903
"Albania",2016,"Loans to Agriculture",41.82341
"Albania",2016,"Development Aid",10.575295
"Albania",2016,"Foreign Investment",-0.58666
"Albania",2016,"Research and Development",1.49
"Albania",2017,"Economic Contribution",2476.629502
"Albania",2017,"Investment in Assets",342.701493
"Albania",2017,"Loans to Agriculture",45.004198
"Albania",2017,"Development Aid",18.529629
"Albania",2017,"Foreign Investment",5.795235
"Albania",2017,"Research and Development",1.73
"Albania",2018,"Economic Contribution",2793.252461
"Albania",2018,"Investment in Assets",381.141712
"Albania",2018,"Loans to Agriculture",52.246062
"Albania",2018,"Development Aid",25.994732
"Albania",2018,"Foreign Investment",-0.059048
"Albania",2018,"Research and Development",1.86
"Albania",2019,"Economic Contribution",2832.292984
"Albania",2019,"Investment in Assets",377.92852
"Albania",2019,"Loans to Agriculture",46.144323
"Albania",2019,"Development Aid",21.055765
"Albania",2019,"Foreign Investment",-0.436595
"Albania",2019,"Research and Development",3.61
"Albania",2020,"Economic Contribution",2915.069419
"Albania",2020,"Investment in Assets",393.806524
"Albania",2020,"Loans to Agriculture",53.658537
"Albania",2020,"Development Aid",23.480704
"Albania",2020,"Foreign Investment",0.205595
"Albania",2020,"Research and Development",3.94
"Albania",2022,"Economic Contribution",3450.315146
"Albania",2022,"Investment in Assets",425.491079
"Albania",2022,"Loans to Agriculture",61.455034
"Albania",2022,"Research and Development",3.95
"Algeria",2001,"Economic Contribution",5392.216075
"Algeria",2001,"Investment in Assets",506.997742
"Algeria",2001,"Development Aid",18.284789
"Algeria",2002,"Economic Contribution",5290.017205
"Algeria",2002,"Investment in Assets",525.134066
"Algeria",2002,"Development Aid",14.160535
"Algeria",2003,"Economic Contribution",6657.818547
"Algeria",2003,"Investment in Assets",629.099256
"Algeria",2003,"Development Aid",21.56767
"Algeria",2003,"Foreign Investment",7.165312
"Algeria",2004,"Economic Contribution",8055.792109
"Algeria",2004,"Investment in Assets",756.219724
"Algeria",2004,"Development Aid",17.453288
"Algeria",2004,"Foreign Investment",4.457883
"Algeria",2005,"Economic Contribution",7937.297023
"Algeria",2005,"Investment in Assets",725.922387
"Algeria",2005,"Development Aid",12.581238
"Algeria",2005,"Foreign Investment",30.991
"Algeria",2007,"Economic Contribution",10218.61741
"Algeria",2007,"Investment in Assets",995.980264
"Algeria",2007,"Development Aid",8.779892
"Algeria",2007,"Foreign Investment",36.908
"Algeria",2008,"Economic Contribution",11263.2641
"Algeria",2008,"Investment in Assets",1182.740452
"Algeria",2008,"Development Aid",5.012474
"Algeria",2008,"Foreign Investment",235.730246
"Algeria",2009,"Economic Contribution",12820.12747
"Algeria",2009,"Investment in Assets",1499.837337
"Algeria",2009,"Development Aid",5.187205
"Algeria",2009,"Foreign Investment",46.92396
"Algeria",2010,"Economic Contribution",13648.52273
"Algeria",2010,"Investment in Assets",1541.913046
"Algeria",2010,"Development Aid",6.413246
"Algeria",2010,"Foreign Investment",23.303
"Algeria",2011,"Economic Contribution",16222.24403
"Algeria",2011,"Investment in Assets",1656.230562
"Algeria",2011,"Development Aid",5.692993
"Algeria",2012,"Economic Contribution",18335.91989
"Algeria",2012,"Investment in Assets",1825.003091
"Algeria",2012,"Development Aid",3.036036
"Algeria",2013,"Economic Contribution",20663.21274
"Algeria",2013,"Investment in Assets",2163.208155
"Algeria",2013,"Development Aid",4.182046
"Algeria",2014,"Economic Contribution",21993.34893
"Algeria",2014,"Investment in Assets",2444.818547
"Algeria",2014,"Development Aid",6.505114
"Algeria",2015,"Economic Contribution",19218.24862
"Algeria",2015,"Investment in Assets",2301.472829
"Algeria",2015,"Development Aid",4.597606
"Algeria",2016,"Economic Contribution",19556.32975
"Algeria",2016,"Investment in Assets",2381.367919
"Algeria",2016,"Development Aid",6.616929
"Algeria",2017,"Economic Contribution",19996.43217
"Algeria",2017,"Investment in Assets",2358.913158
"Algeria",2017,"Development Aid",7.301709
"Algeria",2019,"Economic Contribution",21189.98407
"Algeria",2019,"Investment in Assets",2396.173167
"Algeria",2019,"Development Aid",11.11836
"Algeria",2020,"Economic Contribution",20089.63785
"Algeria",2020,"Investment in Assets",2260.129937
"Algeria",2020,"Development Aid",7.682413
"Algeria",2021,"Economic Contribution",19903.88882
"Algeria",2021,"Investment in Assets",2131.885587
"Algeria",2021,"Development Aid",7.169659
"Algeria",2022,"Economic Contribution",21847.45215
"Algeria",2022,"Investment in Assets",2326.036245
"Angola",2001,"Economic Contribution",974.565934
"Angola",2001,"Investment in Assets",68.797616
"Angola",2001,"Development Aid",7.955385
"Angola",2001,"Research and Development",4.05
"Angola",2002,"Economic Contribution",892.609813
"Angola",2002,"Investment in Assets",92.479166
"Angola",2002,"Development Aid",5.323824
"Angola",2002,"Research and Development",0
"Angola",2003,"Economic Contribution",1104.099923
"Angola",2003,"Investment in Assets",112.540412
"Angola",2003,"Development Aid",8.812903
"Angola",2004,"Economic Contribution",1472.210379
"Angola",2004,"Investment in Assets",152.770409
"Angola",2004,"Development Aid",3.637425
"Angola",2005,"Economic Contribution",1870.876565
"Angola",2005,"Investment in Assets",187.1099
"Angola",2005,"Development Aid",5.251884
"Angola",2005,"Research and Development",0
"Angola",2006,"Economic Contribution",2719.245779
"Angola",2006,"Investment in Assets",234.478972
"Angola",2006,"Development Aid",15.235836
"Angola",2006,"Research and Development",0
"Angola",2007,"Economic Contribution",3421.447173
"Angola",2007,"Investment in Assets",319.991239
"Angola",2007,"Development Aid",16.27165
"Angola",2007,"Research and Development",4.77
"Angola",2008,"Economic Contribution",4254.583294
"Angola",2008,"Investment in Assets",436.81622
"Angola",2008,"Development Aid",34.600315
"Angola",2008,"Research and Development",4.43
"Angola",2009,"Economic Contribution",4655.177818
"Angola",2009,"Investment in Assets",597.535013
"Angola",2009,"Loans to Agriculture",301.068599
"Angola",2009,"Development Aid",32.992578
"Angola",2009,"Research and Development",0
"Angola",2010,"Economic Contribution",5179.053428
"Angola",2010,"Investment in Assets",518.424986
"Angola",2010,"Loans to Agriculture",349.714653
"Angola",2010,"Development Aid",32.668798
"Angola",2010,"Research and Development",0
"Angola",2011,"Economic Contribution",6534.871905
"Angola",2011,"Investment in Assets",626.14807
"Angola",2011,"Loans to Agriculture",397.601738
"Angola",2011,"Development Aid",32.468988
"Angola",2011,"Research and Development",0.15
"Angola",2012,"Economic Contribution",7772.338145
"Angola",2012,"Investment in Assets",751.657215
